rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
1249,стихать,stikhat',to subside/die down,Ветер стихает к вечеру постепенно.,Veter stikhayet k vecheru postepenno.,The wind gradually subsides toward evening.,change
1250,разгуливаться,razgulivat'sya,to clear up (weather),Погода разгуливается после обеда.,Pogoda razgulivayetsya posle obeda.,The weather clears up after lunch.,change
1251,хмуриться,khmurit'sya,to frown/scowl,Начальник хмурится при виде опоздавших.,Nachal'nik khmuritsya pri vide opozdavshikh.,The boss frowns at the sight of latecomers.,emotion
1252,ухмыляться,ukhmylyat'sya,to smirk,Он ухмыляется после удачной шутки.,On ukhmylyayetsya posle udachnoy shutki.,He smirks after a successful joke.,emotion
1253,морщиться,morshchit'sya,to wince/grimace,Она морщится от кислого вкуса лимона.,Ona morshchitsya ot kislogo vkusa limona.,She grimaces from the sour taste of lemon.,perception
1254,щуриться,shchurit'sya,to squint,Он щурится от яркого солнечного света.,On shchuritsya ot yarkogo solnechnogo sveta.,He squints from the bright sunlight.,perception
1255,подмигивать,podmigivat',to wink,Дедушка подмигивает внуку за столом.,Dedushka podmigivayet vnuku za stolom.,Grandpa winks at his grandson at the table.,communication
1256,пялиться,pyalit'sya,to stare,Не пялься на незнакомых людей.,Ne pyal'sya na neznakomykh lyudey.,Don't stare at strangers.,perception
1257,коситься,kosit'sya,to glance sideways,Она косится на соседа в автобусе.,Ona kositsya na soseda v avtobuse.,She glances sideways at her neighbor on the bus.,perception
1258,вглядываться,vglyadyvat'sya,to peer/gaze intently,Он вглядывается в темноту за окном.,On vglyadyvayetsya v temnotu za oknom.,He peers into the darkness outside the window.,perception
1259,присматриваться,prismatrivat'sya,to look closely,Покупатель присматривается к товарам на витрине.,Pokupatel' prismatrivayetsya k tovaram na vitrine.,The buyer looks closely at the goods in the display.,perception
1260,вслушиваться,vsluishivat'sya,to listen intently,Она вслушивается в тихую мелодию.,Ona vslushivayetsya v tikhuyu melodiyu.,She listens intently to the quiet melody.,perception
1261,принюхиваться,prinyukhivat'sya,to sniff at,Собака принюхивается к незнакомому запаху.,Sobaka prinyukhivayetsya k neznakomoyu zapakhu.,The dog sniffs at the unfamiliar smell.,perception
1262,облизываться,oblizyvat'sya,to lick one's lips,Кот облизывается при виде рыбы.,Kot oblizyvayetsya pri vide ryby.,The cat licks its lips at the sight of fish.,action
1263,причмокивать,prichmokivat',to smack one's lips,Малыш причмокивает от вкусной каши.,Malysh prichmokivayet ot vkusnoy kashi.,The baby smacks his lips from the tasty porridge.,action
1264,фыркать,fyrkat',to snort,Лошадь фыркает от испуга.,Loshad' fyrkayet ot ispuga.,The horse snorts in fright.,action
1265,рычать,rychat',to growl,Собака рычит на чужого человека.,Sobaka rychit na chuzhogo cheloveka.,The dog growls at a stranger.,action
1266,мяукать,myaukat',to meow,Кошка мяукает у двери каждое утро.,Koshka myaukayet u dveri kazhdoye utro.,The cat meows at the door every morning.,action
1267,лаять,layat',to bark,Собака лает на прохожих за забором.,Sobaka layet na prokhozikh za zaborom.,The dog barks at passersby behind the fence.,action
1268,мычать,mychat',to moo,Коровы мычат на лугу по утрам.,Korovy mychat na lugu po utram.,Cows moo in the meadow in the mornings.,action
1269,кукарекать,kukarekat',to crow (rooster),Петух кукарекает на рассвете каждый день.,Petukh kukarekayet na rassvete kazhdyy den'.,The rooster crows at dawn every day.,action
1270,чирикать,chirikat',to chirp,Воробьи чирикают на ветке за окном.,Vorob'yi chirikayut na vetke za oknom.,Sparrows chirp on the branch outside the window.,action
1271,каркать,karkat',to caw,Ворона каркает на крыше старого дома.,Vorona karkayet na kryshe starogo doma.,The crow caws on the roof of the old house.,action
1272,выть,vyt',to howl,Волк воет на луну в лесу.,Volk voyut na lunu v lesu.,The wolf howls at the moon in the forest.,action
1273,жужжать,zhuzzhat',to buzz,Пчёлы жужжат над цветами в поле.,Pchyoly zhuzhat nad tsvetami v pole.,Bees buzz over the flowers in the field.,action
1274,стрекотать,strekotat',to chirr/chatter,Кузнечики стрекочут в траве жарким летом.,Kuznechiki strekochut v trave zharkim letom.,Grasshoppers chirr in the grass in hot summer.,action
1275,квакать,kvakat',to croak (frog),Лягушки квакают в пруду после дождя.,Lyagushki kvakayut v prudu posle dozhdya.,Frogs croak in the pond after rain.,action
1276,шипеть,shipet',to hiss,Змея шипит при приближении человека.,Zmeya shipit pri priblizhenii cheloveka.,The snake hisses when a person approaches.,action
1277,мурлыкать,murlyykat',to purr,Кошка мурлычет на коленях хозяйки.,Koshka murlychet na kolenyakh khozyayki.,The cat purrs on the owner's lap.,action
1278,скулить,skulit',to whimper,Щенок скулит у закрытой двери.,Shchenok skulit u zakrytoy dveri.,The puppy whimpers at the closed door.,action
1279,хрюкать,khryukat',to oink/grunt,Свинья хрюкает в загоне на ферме.,Svin'ya khryukayet v zagone na ferme.,The pig oinks in the pen on the farm.,action
1280,блеять,bleyat',to bleat,Овцы блеют на пастбище у реки.,Ovtsy bleyut na pastbishche u reki.,Sheep bleat on the pasture by the river.,action
1281,ржать,rzhat',to neigh,Лошадь ржёт при виде хозяина.,Loshad' rzhyot pri vide khozyaina.,The horse neighs at the sight of its owner.,action
1282,подкармливать,podkarmlivat',to feed (extra),Мы подкармливаем птиц зимой.,My podkarmlivayem ptits zimoy.,We feed the birds in winter.,action
1283,выгуливать,vygulivat',to walk (a pet),Он выгуливает собаку дважды в день.,On vygulivayet sobaku dvazhdy v den'.,He walks the dog twice a day.,action
1284,дрессировать,dressirovat',to train (animal),Тренер дрессирует собаку для службы.,Trener dressiruyet sobaku dlya sluzhby.,The trainer trains the dog for service.,action
1285,приручать,priruchat',to tame/domesticate,Мальчик приручает дикого котёнка.,Mal'chik priruchayet dikogo kotyonka.,The boy tames a wild kitten.,action
1286,линять,linyat',to shed (fur),Кот линяет каждую весну обильно.,Kot linyayet kazhduyu vesnu obil'no.,The cat sheds heavily every spring.,change
1287,вычёсывать,vychyosyvat',to comb out,Хозяйка вычёсывает шерсть у собаки.,Khozyayka vychyosyvayet sherst' u sobaki.,The owner combs out the dog's fur.,action
1288,прихорашиваться,prikhorashivat'sya,to primp/preen,Она прихорашивается перед зеркалом целый час.,Ona prikhorashivayetsya pered zerkalom tselyy chas.,She primps in front of the mirror for an hour.,action
1289,наряжаться,naryazhat'sya,to dress up,Дети наряжаются для школьного праздника.,Deti naryazhayutsya dlya shkol'nogo prazdnika.,Children dress up for the school celebration.,action
1290,переодеваться,pereodevat'sya,to change clothes,Он переодевается после работы в спортивное.,On pereodevayetsya posle raboty v sportivnoye.,He changes into sportswear after work.,action
1291,причёсываться,prichyosyvat'sya,to comb one's hair,Девочка причёсывается перед школой.,Devochka prichyosyvayetsya pered shkoloy.,The girl combs her hair before school.,action
1292,краситься,krasit'sya,to put on makeup,Она красится перед выходом из дома.,Ona krasitsya pered vykhodom iz doma.,She puts on makeup before leaving home.,action
1293,бриться,brit'sya,to shave,Он бреется каждое утро перед работой.,On breyetsya kazhdoye utro pered rabotoy.,He shaves every morning before work.,action
1294,стричься,strich'sya,to get a haircut,Он стрижётся раз в месяц.,On strizhyotsya raz v mesyats.,He gets a haircut once a month.,action
1295,полнеть,polnet',to get fuller/gain weight,Он полнеет от сидячего образа жизни.,On polneyet ot sidyachego obraza zhizni.,He gains weight from a sedentary lifestyle.,change
1296,стареть,staret',to age/grow old,Все люди стареют с течением времени.,Vse lyudi stareyut s techeniyem vremeni.,All people age with time.,change
1297,молодеть,molodet',to look younger,Она молодеет после отпуска на море.,Ona molodeyet posle otpuska na more.,She looks younger after a vacation at the sea.,change
1298,седеть,sedet',to go gray (hair),Он рано седеет от стрессов на работе.,On rano sedeyet ot stressov na rabote.,He goes gray early from stress at work.,change
1299,лысеть,lySet',to go bald,Мужчина лысеет после сорока лет.,Muzhchina lyseyet posle soroka let.,The man goes bald after forty.,change
1300,хорошеть,khoroshet',to become prettier,Девушка хорошеет с каждым годом.,Devushka khorosheyet s kazhdym godom.,The girl becomes prettier every year.,change
1301,дурнеть,durnet',to lose looks,Она дурнеет от недосыпания и стресса.,Ona durneyet ot nedosypaniya i stressa.,She loses her looks from lack of sleep and stress.,change
1302,горбиться,gorbit'sya,to hunch/slouch,Не горбись за компьютером весь день.,Ne gorbis' za komp'yuterom ves' den'.,Don't slouch at the computer all day.,state
1303,сутулиться,sutulit'sya,to stoop/slouch,Подросток сутулится за партой в школе.,Podrostok sutulitsya za partoy v shkole.,The teenager slouches at the desk in school.,state
1304,потягиваться,potyagivat'sya,to stretch (oneself),Кот потягивается после долгого сна.,Kot potyagivayetsya posle dolgogo sna.,The cat stretches after a long sleep.,action
1305,разогреваться,razogreovat'sya,to warm up (body),Бегуны разогреваются перед стартом.,Beguny razogrevayutsya pered startom.,Runners warm up before the start.,action
1306,закаляться,zakalyat'sya,to toughen up/harden,Он закаляется холодным душем каждое утро.,On zakalyayetsya kholodnym dushem kazhdoye utro.,He toughens up with a cold shower every morning.,action
1307,голодать,golodat',to starve/fast,Монахи голодают во время поста.,Monakhi golodayut vo vremya posta.,Monks fast during Lent.,state
1308,объедаться,ob"yedat'sya,to overeat,Не объедайся сладким перед обедом.,Ne ob"yedaysya sladkim pered obedom.,Don't overeat sweets before lunch.,action
1309,причитать,prichitat',to lament,Бабушка причитает над разбитой вазой.,Babushka prichitayet nad razbitoy vazoy.,Grandma laments over the broken vase.,emotion
1310,рыдать,rydat',to sob,Девочка рыдает из-за потерянной игрушки.,Devochka rydayet iz-za poteryannoy igrushki.,The girl sobs because of a lost toy.,emotion
1311,всхлипывать,vsklipyvat',to whimper/sniffle,Ребёнок всхлипывает после долгого плача.,Rebyonok vsklipyvayet posle dolgogo placha.,The child sniffles after long crying.,emotion
1312,хныкать,khnykat',to whine,Малыш хнычет из-за сломанной игрушки.,Malysh khnychet iz-za slomannoy igrushki.,The toddler whines because of a broken toy.,emotion
1313,хихикать,khikhi kat',to giggle,Девочки хихикают на задней парте.,Devochki khikhikayut na zadney parte.,The girls giggle at the back desk.,emotion
1314,хохотать,khokhotat',to roar with laughter,Зрители хохочут над комедией.,Zriteli khokhochut nad komediyey.,The audience roars with laughter at the comedy.,emotion
1315,усмехаться,usmekhat'sya,to smirk/grin,Он усмехается при виде забавной ситуации.,On usmekhayetsya pri vide zabavnoy situatsii.,He smirks at the sight of a funny situation.,emotion
1316,фантазировать,fantazirovat',to fantasize,Дети фантазируют о космических путешествиях.,Deti fantaziruyut o kosmicheskikh puteshestviyakh.,Children fantasize about space travels.,cognition
1317,мечтать,mechtat',to dream/daydream,Она мечтает о путешествии в Италию.,Ona mechtayet o puteshestvii v Italiyu.,She dreams about a trip to Italy.,cognition
1318,вспоминать,vspominat',to recall/remember,Дедушка вспоминает молодость с улыбкой.,Dedushka vspominayet molodost' s ulybkoy.,Grandpa recalls his youth with a smile.,cognition
1319,воображать,voobrazhat',to imagine,Писатель воображает новые миры для книги.,Pisatel' voobrazhayet novyye miry dlya knigi.,The writer imagines new worlds for the book.,cognition
1320,предполагать,predpolagat',to assume/suppose,Я предполагаю что он приедет завтра.,Ya predpolagayu chto on priyedet zavtra.,I assume he will arrive tomorrow.,cognition
1321,подозревать,podozrevat',to suspect,Полиция подозревает соседа в краже.,Politsiya podozrevayet soseda v krazhe.,The police suspect the neighbor of theft.,cognition
1322,сомневаться,somnevat'sya,to doubt,Она сомневается в правильности решения.,Ona somnevayetsya v pravil'nosti resheniya.,She doubts the correctness of the decision.,cognition
1323,осознавать,osoznavat',to realize/be aware,Он осознаёт свои ошибки слишком поздно.,On osoznayot svoi oshibki slishkom pozdno.,He realizes his mistakes too late.,cognition
1324,постигать,postigat',to comprehend/grasp,Студент постигает основы философии.,Student postigayet osnovy filosofii.,The student grasps the basics of philosophy.,cognition
1325,недоумевать,nedoumevat',to be perplexed,Учитель недоумевает от странного ответа.,Uchitel' nedoumevayet ot strannogo otveta.,The teacher is perplexed by the strange answer.,cognition
1326,заблуждаться,zabluzhat'sya,to be mistaken,Ты заблуждаешься насчёт его намерений.,Ty zabluzhayesh'sya naschyot yego namereniy.,You are mistaken about his intentions.,cognition
1327,размышлять,razmyshlyat',to reflect/ponder,Философ размышляет о смысле жизни.,Filosof razmyshlyayet o smysle zhizni.,The philosopher ponders the meaning of life.,cognition
1328,созерцать,sozertat',to contemplate,Монах созерцает природу в тишине.,Monakh sozertsayet prirodu v tishine.,The monk contemplates nature in silence.,perception
1329,обдумывать,obdumyvat',to think over,Она обдумывает предложение о работе.,Ona obdumyvayet predlozheniye o rabote.,She thinks over the job offer.,cognition
1330,прикидывать,prikidyvat',to estimate/reckon,Строитель прикидывает стоимость ремонта.,Stroitel' prikiydyvayet stoimost' remonta.,The builder estimates the cost of repairs.,cognition
1331,взвешивать(ся),vzveshivat'(sya),to weigh (options),Менеджер взвешивает все варианты решения.,Menedzher vzveshivayet vse varianty resheniya.,The manager weighs all solution options.,cognition
1332,сопоставлять,sopostavlyat',to compare/contrast,Аналитик сопоставляет данные за два года.,Analitik sopostavlyayet dannyye za dva goda.,The analyst compares data for two years.,cognition
1333,систематизировать,sistematizirovat',to systematize,Библиотекарь систематизирует книги по темам.,Bibliotekar' sistematiziruyut knigi po temam.,The librarian systematizes books by topic.,action
1334,классифицировать,klassifitsirovat',to classify,Учёные классифицируют новые виды растений.,Uchyonyye klassifitsiruyut novyye vidy rasteniy.,Scientists classify new plant species.,cognition
1335,формулировать,formulirovat',to formulate,Юрист формулирует условия договора точно.,Yurist formuliruyet usloviya dogovora tochno.,The lawyer formulates the contract terms precisely.,cognition
1336,резюмировать,rezyumirovat',to summarize,Докладчик резюмирует основные выводы доклада.,Dokladchik rezyumiruyet osnovnyye vyvody doklada.,The speaker summarizes the main conclusions of the report.,communication
1337,интерпретировать,interpretirovat',to interpret,Переводчик интерпретирует речь на конференции.,Perevodchik interpretiruyet rech' na konferentsii.,The interpreter interprets the speech at the conference.,cognition
1338,комментировать,kommentirovat',to comment,Журналист комментирует новости в прямом эфире.,Zhurnalist kommentiruyet novosti v pryamom efire.,The journalist comments on the news live.,communication
1339,аргументировать,argumentirovat',to argue/give reasons,Адвокат аргументирует свою позицию фактами.,Advokat argumentiruyet svoyu pozitsiyu faktami.,The lawyer argues his position with facts.,communication
1340,дискутировать,diskutirovat',to discuss/debate,Учёные дискутируют о новой теории.,Uchyonyye diskutiruyut o novoy teorii.,Scientists debate about the new theory.,communication
1341,полемизировать,polemizirovat',to polemicize,Автор полемизирует с критиками в статье.,Avtor polemiziruyet s kritikami v stat'ye.,The author polemicizes with critics in the article.,communication
1342,декламировать,deklamirovat',to recite,Актёр декламирует стихи на вечере.,Aktyor deklamiruyet stikhi na vechere.,The actor recites poetry at the evening event.,communication
1343,диктовать,diktovat',to dictate,Учитель диктует текст ученикам на уроке.,Uchitel' diktuyet tekst uchenikam na uroke.,The teacher dictates text to students in class.,communication
1344,нашёптывать,nashyoptyvat',to whisper,Подруга нашёптывает ей секрет на ухо.,Podruga nashyoptyvayet yey sekret na ukho.,The friend whispers a secret in her ear.,communication
1345,бормотать,bormotat',to mutter/mumble,Старик бормочет себе под нос.,Starik bormochet sebe pod nos.,The old man mutters to himself.,communication
1346,заикаться,zaikat'sya,to stutter,Мальчик заикается от волнения на сцене.,Mal'chik zaikayetsya ot volneniya na stsene.,The boy stutters from nervousness on stage.,communication
1347,картавить,kartavit',to burr (pronounce R),Ребёнок картавит и ходит к логопеду.,Rebyonok kartavit i khodit k logopedu.,The child burrs and sees a speech therapist.,communication
1348,шепелявить,shepelyavit',to lisp,Малыш шепелявит пока не выросли зубы.,Malysh shepelyavit poka ne vyrosli zuby.,The toddler lisps until his teeth grow in.,communication
1349,окликать,oklikat',to call out to,Мама окликает сына с балкона.,Mama oklikayet syna s balkona.,Mom calls out to her son from the balcony.,communication
1350,перебивать,perebivat',to interrupt,Не перебивай меня когда я говорю.,Ne perebivay menya kogda ya govoryu.,Don't interrupt me when I'm speaking.,communication
1351,подсказывать,podskazyvat',to prompt/hint,Друг подсказывает ответ на экзамене.,Drug podskazyvayet otvet na ekzamene.,A friend prompts the answer at the exam.,communication
1352,ворчать,vorchat',to grumble,Дедушка ворчит на шумных соседей.,Dedushka vorchit na shumnykh sosedey.,Grandpa grumbles about the noisy neighbors.,communication
1353,браниться,branit'sya,to scold/quarrel,Соседи бранятся из-за громкой музыки.,Sosedi branyatsya iz-za gromkoy muzyki.,Neighbors quarrel because of loud music.,communication
1354,ругаться,rugat'sya,to curse/swear,Водители ругаются в пробке на дороге.,Voditeli rugayutsya v probke na doroge.,Drivers curse in traffic on the road.,communication
1355,примирять,primiryat',to reconcile,Мать примиряет поссорившихся братьев.,Mat' primiryayet possorivshikhsya brat'yev.,The mother reconciles the quarreling brothers.,social
1356,мириться,mirit'sya,to make peace,Друзья мирятся после короткой ссоры.,Druz'ya miryatsya posle korotkoy ssory.,Friends make peace after a short quarrel.,social
1357,извиняться,izvinyat'sya,to apologize,Он извиняется за опоздание на встречу.,On izvinyayetsya za opozdaniye na vstrechu.,He apologizes for being late to the meeting.,social
1358,благодарить,blagodarit',to thank,Она благодарит врача за помощь.,Ona blagodarit vracha za pomoshch'.,She thanks the doctor for the help.,social
1359,поздравлять,pozdravlyat',to congratulate,Коллеги поздравляют его с днём рождения.,Kollegi pozdravlyayut yego s dnyom rozhdeniya.,Colleagues congratulate him on his birthday.,social
1360,сочувствовать,sochuvstvovat',to sympathize,Друзья сочувствуют ей в трудный момент.,Druz'ya sochuvstvuyut yey v trudnyy moment.,Friends sympathize with her in a difficult moment.,emotion
1361,соболезновать,soboleznovat',to offer condolences,Мы соболезнуем семье погибшего.,My soboleznuyem sem'ye pogibshego.,We offer condolences to the deceased's family.,social
1362,утешать,uteshat',to console/comfort,Мама утешает плачущего ребёнка.,Mama uteshayet plachushchego rebyonka.,Mom consoles the crying child.,emotion
1363,подбадривать,podbadrivat',to encourage,Тренер подбадривает команду перед матчем.,Trener podbadrivayet komandu pered matchem.,The coach encourages the team before the match.,emotion
1364,ободрять,obodryat',to cheer up,Друзья ободряют его после неудачи.,Druz'ya obodryayut yego posle neudachi.,Friends cheer him up after the failure.,emotion
1365,раздражать,razdrazhat',to irritate/annoy,Шум за стеной раздражает соседей.,Shum za stenoy razdrazhayet sosedey.,Noise behind the wall irritates the neighbors.,emotion
1366,бесить,besit',to infuriate,Постоянное враньё бесит всех вокруг.,Postoyannoye vran'yo besit vsekh vokrug.,Constant lying infuriates everyone around.,emotion
1367,умилять,umilyat',to touch/move (emotionally),Маленькие котята умиляют всех гостей.,Malen'kiye kotyata umilyayut vsekh gostey.,Little kittens touch all the guests.,emotion
1368,растрогать,rastrogat',to move to tears,Его речь растрогала всех зрителей.,Yego rech' rastrogala vsekh zriteley.,His speech moved all the viewers to tears.,emotion
1369,ужасать,uzhasat',to horrify,Новости об аварии ужасают жителей.,Novosti ob avarii uzhasayut zhiteley.,News of the accident horrifies residents.,emotion
1370,шокировать,shokirovat',to shock,Результаты исследования шокируют общество.,Rezul'taty issledovaniya shokiruyut obshchestvo.,The research results shock society.,emotion
1371,смущать,smushchat',to embarrass,Комплименты смущают скромную девушку.,Komplimenty smushchayut skromnuyu devushku.,Compliments embarrass the shy girl.,emotion
1372,тревожить,trevozhit',to alarm/worry,Странные звуки тревожат жителей дома.,Strannyye zvuki trevozhyat zhiteley doma.,Strange sounds alarm the house residents.,emotion
1373,успокаивать,uspokaivat',to calm down,Мама успокаивает испуганного малыша.,Mama uspokaivayet ispugannogo malysha.,Mom calms down the frightened toddler.,emotion
1374,ликовать,likovat',to rejoice/exult,Болельщики ликуют после победы команды.,Bolel'shchiki likuyut posle pobedy komandy.,Fans rejoice after the team's victory.,emotion
1375,торжествовать,torzhestvovat',to triumph,Команда торжествует после долгожданной победы.,Komanda torzhestvuyet posle dolgozhdannoy pobedy.,The team triumphs after the long-awaited victory.,emotion
1376,негодовать,negodovat',to be indignant,Жители негодуют из-за повышения цен.,Zhiteli negoduyut iz-za povysheniya tsen.,Residents are indignant about the price increase.,emotion
1377,возмущаться,vozmushchat'sya,to be outraged,Пассажиры возмущаются задержкой рейса.,Passazhiry vozmushchayutsya zaderzhkoy reysa.,Passengers are outraged by the flight delay.,emotion
1378,досадовать,dosadovat',to be annoyed,Он досадует на себя за глупую ошибку.,On dosadyuet na sebya za glupuyu oshibku.,He is annoyed at himself for a stupid mistake.,emotion
1379,томиться,tomit'sya,to languish,Она томится в ожидании результатов.,Ona tomitsya v ozhidanii rezul'tatov.,She languishes waiting for the results.,emotion
1380,маяться,mayat'sya,to suffer/be restless,Больной маятся от бессонницы ночами.,Bol'noy mayatsya ot bessonnitsty nochami.,The patient suffers from insomnia at night.,state
1381,блаженствовать,blazhenstvovat',to be blissful,Кот блаженствует на тёплом подоконнике.,Kot blazhenstvuyet na tyoplom podokonnike.,The cat is blissful on the warm windowsill.,emotion
1382,наслаждаться,naslazhdat'sya,to enjoy/savor,Мы наслаждаемся закатом на берегу моря.,My naslazhayemsya zakatom na beregu morya.,We enjoy the sunset on the seashore.,emotion
1383,предвкушать,predvkushat',to anticipate/look forward to,Дети предвкушают летние каникулы.,Deti predvkushayut letniye kanikuly.,Children look forward to summer vacation.,emotion
1384,ностальгировать,nostal'girovat',to feel nostalgic,Эмигранты ностальгируют по родине.,Emigranty nostal'giruyut po rodine.,Emigrants feel nostalgic about their homeland.,emotion
1385,сострадать,sostradat',to have compassion,Волонтёры сострадают пострадавшим от наводнения.,Volontyory sostradayut postradavshim ot navodneniya.,Volunteers have compassion for flood victims.,emotion
1386,пренебрегать,prenebbregat',to neglect/disregard,Он пренебрегает советами опытных коллег.,On prenebbregayet sovetami opytnykh kolleg.,He disregards the advice of experienced colleagues.,social
1387,уважать,uvazhat',to respect,Студенты уважают строгого профессора.,Studenty uvazhayut strogogo professora.,Students respect the strict professor.,social
1388,презирать,prezirat',to despise,Она презирает ложь и лицемерие.,Ona prezirayet lozh' i litsemiriye.,She despises lies and hypocrisy.,emotion
1389,обожать,obozhat',to adore,Дети обожают свою бабушку.,Deti obozhayut svoyu babushku.,Children adore their grandmother.,emotion
1390,ненавидеть,nenavidet',to hate,Он ненавидит вставать рано утром.,On nenavidit vstavat' rano utrom.,He hates getting up early in the morning.,emotion
1391,недолюбливать,nedolyublivat',to dislike,Кот недолюбливает нового щенка.,Kot nedolyublivayet novogo shchenka.,The cat dislikes the new puppy.,emotion
1392,благоволить,blagovolit',to be favorably disposed,Директор благоволит новому сотруднику.,Direktor blagovolit novomu sotrudniku.,The director is favorably disposed toward the new employee.,emotion
1393,ревновать,revnovat',to be jealous,Муж ревнует жену к её коллеге.,Muzh revnuyet zhenu k yeyo kollege.,The husband is jealous of his wife's colleague.,emotion
1394,флиртовать,flirtovat',to flirt,Она флиртует с новым коллегой на работе.,Ona flirtuyet s novym kollegoy na rabote.,She flirts with the new colleague at work.,social
1395,кокетничать,koketnichat',to be coquettish,Девушка кокетничает с молодым официантом.,Devushka koketnichayet s molodym ofitsiantom.,The girl flirts with the young waiter.,social
1396,ухаживать,ukhazhivat',to court/take care of,Он ухаживает за больной матерью.,On ukhazhivayet za bol'noy mater'yu.,He takes care of his sick mother.,social
1397,свататься,svatat'sya,to propose/court,Молодой человек сватается к соседской дочери.,Molodoy chelovek svatayetsya k sosedskoy docheri.,The young man courts the neighbor's daughter.,social
1398,венчаться,venchat'sya,to get married (church),Они венчаются в старинной церкви.,Oni venchayutsya v starinnoy tserkvi.,They get married in an old church.,social
1399,разводиться,razvodit'sya,to get divorced,Они разводятся после десяти лет брака.,Oni razvodyatsya posle desyati let braka.,They are getting divorced after ten years of marriage.,social
1400,усыновлять,usynovlyat',to adopt (child),Семья усыновляет ребёнка из детского дома.,Sem'ya usynovlyayet rebyonka iz detskogo doma.,The family adopts a child from an orphanage.,social
1401,крестить,krestit',to baptize,Родители крестят младенца в воскресенье.,Roditeli krestyat mladentsa v voskresen'ye.,The parents baptize the baby on Sunday.,social
1402,хоронить,khoronit',to bury,Родственники хоронят дедушку на кладбище.,Rodstvenniki khoronyat dedushku na kladbishche.,Relatives bury the grandfather at the cemetery.,social
1403,оплакивать,oplakivat',to mourn,Семья оплакивает потерю близкого человека.,Sem'ya oplakivayet poteryu blizkogo cheloveka.,The family mourns the loss of a loved one.,emotion
1404,наследовать,nasledovat',to inherit,Сын наследует бизнес отца.,Syn nasleduyet biznes ottsa.,The son inherits his father's business.,possession
1405,завещать,zaveshchat',to bequeath,Бабушка завещает дом старшему внуку.,Babushka zaveshchayet dom starshemu vnuku.,Grandma bequeaths the house to the eldest grandson.,possession
1406,одалживать,odalzhivat',to lend/borrow,Не одалживай деньги незнакомым людям.,Ne odalzhivay den'gi neznakomym lyudyam.,Don't lend money to strangers.,possession
1407,экономить,ekonomit',to save/economize,Семья экономит деньги на отпуск.,Sem'ya ekonomit den'gi na otpusk.,The family saves money for vacation.,possession
1408,транжирить,tranzhirit',to squander,Он транжирит зарплату на пустяки.,On tranzhirit zarplatu na pustyaki.,He squanders his salary on trifles.,possession
1409,торговаться,torgovat'sya,to bargain/haggle,Покупатель торгуется на восточном базаре.,Pokupatel' torguyetsya na vostochnom bazare.,The buyer haggles at the Eastern bazaar.,social
1410,расплачиваться,rasplachivat'sya,to pay (settle up),Он расплачивается картой в магазине.,On rasplachivayetsya kartoy v magazine.,He pays with a card at the store.,possession
1411,подсчитывать,podschityvat',to count up/tally,Бухгалтер подсчитывает расходы за месяц.,Bukhgalter podschityvayet raskhody za mesyats.,The accountant tallies expenses for the month.,action
1412,бюджетировать,byudzhetirovat',to budget,Семья бюджетирует расходы на каждый месяц.,Sem'ya byudzhitiruyet raskhody na kazhdyy mesyats.,The family budgets expenses for each month.,action
1413,спонсировать,sponsirovat',to sponsor,Компания спонсирует местную футбольную команду.,Kompaniya sponsiruyet mestnuyu futbol'nuyu komandu.,The company sponsors the local football team.,social
1414,субсидировать,subsidirovat',to subsidize,Государство субсидирует сельское хозяйство.,Gosudarstvo subsidiruyet sel'skoye khozyaystvo.,The state subsidizes agriculture.,social
1415,приватизировать,privatizirovat',to privatize,Правительство приватизирует государственные заводы.,Pravitel'stvo privatiziruyet gosudarstvennyye zavody.,The government privatizes state factories.,change
1416,национализировать,natsionalizirovat',to nationalize,Страна национализирует нефтяную промышленность.,Strana natsionaliziruyet neftyanuyu promyshlennost'.,The country nationalizes the oil industry.,change
1417,лоббировать,lobbirovat',to lobby,Компании лоббируют свои интересы в парламенте.,Kompanii lobbiruyut svoi interesy v parlamente.,Companies lobby their interests in parliament.,social
1418,ратифицировать,ratifitsirovat',to ratify,Парламент ратифицирует международный договор.,Parlament ratifitsiruyet mezhdunarodnyy dogovor.,Parliament ratifies the international treaty.,social
1419,амнистировать,amnistirovat',to grant amnesty,Президент амнистирует группу заключённых.,Prezident amnistiruyet gruppu zaklyuchyonnykh.,The president grants amnesty to a group of prisoners.,social
1420,депортировать,deportirovat',to deport,Власти депортируют нелегальных мигрантов.,Vlasti deportiruyut nelegal'nykh migrantov.,Authorities deport illegal migrants.,social
1421,эмигрировать,emigrirovat',to emigrate,Семья эмигрирует в другую страну.,Sem'ya emigriruyet v druguyu stranu.,The family emigrates to another country.,motion
1422,иммигрировать,immigrirovat',to immigrate,Многие иммигрируют в поисках лучшей жизни.,Mnogiye immigriruyut v poiskakh luchshey zhizni.,Many immigrate in search of a better life.,motion
1423,натурализоваться,naturalizovat'sya,to become naturalized,Он натурализуется после пяти лет проживания.,On naturalizuyetsya posle pyati let prozhivaniya.,He becomes naturalized after five years of residence.,change
1424,ассимилироваться,assimilirovat'sya,to assimilate,Иммигранты ассимилируются в новом обществе.,Immigranty assimiliruyutsya v novom obshchestve.,Immigrants assimilate in the new society.,change
